,index,genre,title,url,artist,weekly_views,all_views,artist_url
124,5,Hip-hop & Rap,Back In Blood (feat. Lil Durk),https://soundcloud.com/ceo-mrpooh/back-in-blood-feat-lil-durk,Pooh Shiesty,690637.0,25615493.0,https://soundcloud.com/ceo-mrpooh
125,6,Hip-hop & Rap,Calling My Phone (feat. 6lack),https://soundcloud.com/liltjay/calling-my-phone,Lil Tjay,688697.0,24027894.0,https://soundcloud.com/liltjay
126,7,Hip-hop & Rap,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,https://soundcloud.com/yungeenace/spinabenz-x-whoppa-wit-da-choppa-x-yungeen-ace-x-fastmoney-goon,Yungeen Ace,664408.0,3642527.0,https://soundcloud.com/yungeenace
127,8,Hip-hop & Rap,Richer feat. Polo G,https://soundcloud.com/rodwave/richer-feat-polo-g,Rod Wave,644418.0,5475809.0,https://soundcloud.com/rodwave
128,9,Hip-hop & Rap,Lil Tecca - Show Me Up,https://soundcloud.com/liltecca/lil-tecca-show-me-up,Lil Tecca ✰,589966.0,1944833.0,https://soundcloud.com/liltecca
129,10,Hip-hop & Rap,CURLY SAVV FT G HERBO - 50 SHOTS,https://soundcloud.com/nbacurlysavv/50-shots-feat-g-herbo,Curly Savv,585334.0,1314778.0,https://soundcloud.com/nbacurlysavv
130,1,House,ITS FOOKING GAME DAY [REUPLOAD],https://soundcloud.com/wudaddy/its-fooking-game-day-reupload,wu,19635.0,1391622.0,https://soundcloud.com/wudaddy
131,2,House,Kid Cudi - Pursuit of Happiness (Steve Aoki Remix),https://soundcloud.com/steveaoki/kid-cudi-pursuit-of-happiness,Steve Aoki,12470.0,45162564.0,https://soundcloud.com/steveaoki
132,3,House,Lady - Modjo  /  (Hear Me Tonight) Original,https://soundcloud.com/mhmddewedar/lady-modjo-hear-me-tonight,Mohammed Dewidar,9907.0,5672454.0,https://soundcloud.com/mhmddewedar
133,4,House,No Levels (Avicii vs. Waka Flocka) -Solow and Zalem Hest Mashup,https://soundcloud.com/solow-1/no-levels-avicii-vs-waka,SOLOW,9856.0,4236643.0,https://soundcloud.com/solow-1
134,5,House,Closing Time x Feel So Close x Black Parade x Rooms,https://soundcloud.com/dmac7396/closing-time-x-feel-so-close-x-black-parade-x-rooms-dmac-mashup,DMAC,9843.0,1836749.0,https://soundcloud.com/dmac7396
135,6,House,No Sleep For Kanye (Alec Milton Mashup),https://soundcloud.com/alecmiltonmusic/no-sleep-for-kanye-wiz-v-chainsmokers-v-kasum,Alec Milton,8157.0,4379401.0,https://soundcloud.com/alecmiltonmusic
136,7,House,Lemonade Levels (Avicii x Internet Money),https://soundcloud.com/karkeys_21/lemonade-levels,K A R K E Y S,8067.0,703345.0,https://soundcloud.com/karkeys_21
137,8,House,Friday Beers (Salthaus & Ruston Mix),https://soundcloud.com/ruston_music/friday-beers,Ruston,8022.0,1478218.0,https://soundcloud.com/ruston_music
138,9,House,Calvin Harris - Summer (Extended),https://soundcloud.com/calvinharris/calvin-harris-summer-extended,Calvin Harris,7886.0,78492063.0,https://soundcloud.com/calvinharris
139,10,House,Leat'eq - Tokyo (Free DL),https://soundcloud.com/leateq/leateq-tokyo,Leat'eq,7813.0,873645.0,https://soundcloud.com/leateq
